A;B;C;D;E;F;G;H;A2;B2;C2;D2;E2;F2;G2;H2
seven;ONE ;ZERO;ONE ;ZERO;ZERO;ONE ;ZERO;seven;ONE;ZERO;ONE;ZERO;ZERO;ONE;ZERO
six  ;ONE ;ZERO;ZERO;ONE ;ONE ;ONE ;ONE ;six;ONE;ZERO;ZERO;ONE;ONE;ONE;ONE
seven;ONE ;ZERO;ONE ;ZERO;ZERO;ONE ;ZERO;seven;ONE;ZERO;ONE;ZERO;ZERO;ONE;ZERO
six  ;ZERO;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;six;ZERO;ONE;ZERO;ONE;ONE;ZERO;ONE
three;ONE ;ZERO;ZERO;ONE ;ZERO;ZERO;ONE ;three;ONE;ZERO;ZERO;ONE;ZERO;ZERO;ONE
five ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;five;ONE;ONE;ZERO;ONE;ZERO;ONE;ONE
five ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;five;ONE;ONE;ZERO;ONE;ZERO;ONE;ONE
four ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;four;ZERO;ONE;ONE;ONE;ZERO;ONE;ZERO
eight;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;eight;ONE;ONE;ONE;ONE;ONE;ONE;ONE
seven;ONE ;ZERO;ONE ;ZERO;ZERO;ONE ;ZERO;seven;ONE;ZERO;ONE;ZERO;ZERO;ONE;ZERO
one  ;ZERO;ZERO;ONE ;ZERO;ZERO;ONE ;ZERO;one;ZERO;ZERO;ONE;ZERO;ZERO;ONE;ZERO
five ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;five;ONE;ONE;ZERO;ONE;ZERO;ONE;ONE
eight;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;eight;ONE;ONE;ONE;ONE;ZERO;ONE;ONE
seven;ONE ;ZERO;ONE ;ZERO;ZERO;ONE ;ZERO;seven;ONE;ZERO;ONE;ZERO;ZERO;ONE;ZERO
seven;ONE ;ONE ;ONE ;ZERO;ZERO;ONE ;ONE ;seven;ONE;ONE;ONE;ZERO;ZERO;ONE;ONE
eight;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;eight;ONE;ONE;ONE;ZERO;ONE;ZERO;ONE
eight;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;eight;ONE;ONE;ONE;ONE;ONE;ONE;ONE
eight;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;eight;ONE;ONE;ONE;ONE;ONE;ONE;ONE
five ;ONE ;ONE ;ZERO;ONE ;ONE ;ZERO;ZERO;five;ONE;ONE;ZERO;ONE;ONE;ZERO;ZERO
two  ;ONE ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;two;ONE;ZERO;ONE;ONE;ONE;ZERO;ONE
eight;ONE ;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;eight;ONE;ONE;ONE;ONE;ONE;ZERO;ONE
four ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;four;ZERO;ONE;ONE;ONE;ZERO;ONE;ZERO
three;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;ONE ;three;ONE;ZERO;ONE;ONE;ZERO;ONE;ONE
seven;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;ZERO;seven;ONE;ZERO;ONE;ONE;ZERO;ONE;ZERO
nine ;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;ONE ;nine;ONE;ZERO;ONE;ONE;ZERO;ONE;ONE
one  ;ZERO;ZERO;ONE ;ZERO;ZERO;ONE ;ZERO;one;ZERO;ZERO;ONE;ZERO;ZERO;ONE;ZERO
zero ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;zero;ONE;ONE;ONE;ZERO;ONE;ONE;ONE
one  ;ZERO;ZERO;ZERO;ZERO;ZERO;ONE ;ZERO;one;ZERO;ZERO;ZERO;ZERO;ZERO;ONE;ZERO
one  ;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;ZERO;one;ONE;ZERO;ONE;ZERO;ONE;ONE;ZERO
one  ;ZERO;ONE ;ONE ;ZERO;ZERO;ONE ;ZERO;one;ZERO;ONE;ONE;ZERO;ZERO;ONE;ZERO
five ;ONE ;ONE ;ZERO;ZERO;ZERO;ONE ;ONE ;five;ONE;ONE;ZERO;ZERO;ZERO;ONE;ONE
one  ;ZERO;ZERO;ONE ;ZERO;ONE ;ONE ;ZERO;one;ZERO;ZERO;ONE;ZERO;ONE;ONE;ZERO
nine ;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;nine;ONE;ONE;ONE;ONE;ZERO;ONE;ONE
five ;ZERO;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;five;ZERO;ONE;ZERO;ONE;ZERO;ONE;ONE
two  ;ONE ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;two;ONE;ZERO;ONE;ONE;ONE;ZERO;ONE
nine ;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;nine;ONE;ONE;ONE;ONE;ZERO;ONE;ONE
nine ;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;nine;ONE;ONE;ONE;ONE;ZERO;ONE;ONE
seven;ONE ;ZERO;ONE ;ZERO;ZERO;ONE ;ZERO;seven;ONE;ZERO;ONE;ZERO;ZERO;ONE;ZERO
nine ;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;ONE ;nine;ONE;ZERO;ONE;ONE;ZERO;ONE;ONE
five ;ONE ;ZERO;ZERO;ONE ;ZERO;ONE ;ONE ;five;ONE;ZERO;ZERO;ONE;ZERO;ONE;ONE
one  ;ONE ;ZERO;ONE ;ZERO;ZERO;ZERO;ZERO;one;ONE;ZERO;ONE;ZERO;ZERO;ZERO;ZERO
one  ;ZERO;ZERO;ONE ;ZERO;ZERO;ONE ;ZERO;one;ZERO;ZERO;ONE;ZERO;ZERO;ONE;ZERO
nine ;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;nine;ONE;ONE;ONE;ONE;ZERO;ONE;ONE
one  ;ZERO;ZERO;ONE ;ZERO;ZERO;ONE ;ONE ;one;ZERO;ZERO;ONE;ZERO;ZERO;ONE;ONE
nine ;ONE ;ONE ;ONE ;ONE ;ZERO;ZERO;ONE ;nine;ONE;ONE;ONE;ONE;ZERO;ZERO;ONE
six  ;ZERO;ONE ;ZERO;ONE ;ONE ;ONE ;ONE ;six;ZERO;ONE;ZERO;ONE;ONE;ONE;ONE
three;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;ONE ;three;ONE;ZERO;ONE;ONE;ZERO;ONE;ONE
three;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;ONE ;three;ONE;ZERO;ONE;ONE;ZERO;ONE;ONE
five ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;five;ONE;ONE;ZERO;ONE;ZERO;ONE;ONE
four ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;four;ZERO;ONE;ONE;ONE;ZERO;ONE;ZERO
two  ;ONE ;ZERO;ONE ;ONE ;ZERO;ZERO;ONE ;two;ONE;ZERO;ONE;ONE;ZERO;ZERO;ONE
five ;ZERO;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;five;ZERO;ONE;ZERO;ONE;ZERO;ONE;ONE
two  ;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;two;ONE;ONE;ONE;ZERO;ONE;ZERO;ONE
eight;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;eight;ONE;ONE;ONE;ONE;ZERO;ONE;ONE
one  ;ZERO;ZERO;ONE ;ZERO;ZERO;ONE ;ONE ;one;ZERO;ZERO;ONE;ZERO;ZERO;ONE;ONE
five ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;five;ONE;ONE;ZERO;ONE;ZERO;ONE;ONE
zero ;ZERO;ONE ;ONE ;ZERO;ZERO;ONE ;ONE ;zero;ZERO;ONE;ONE;ZERO;ZERO;ONE;ONE
three;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;ONE ;three;ONE;ZERO;ONE;ONE;ZERO;ONE;ONE
three;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;ZERO;three;ONE;ZERO;ONE;ONE;ZERO;ONE;ZERO
five ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;five;ONE;ONE;ZERO;ONE;ZERO;ONE;ONE
nine ;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;nine;ONE;ONE;ONE;ONE;ZERO;ONE;ONE
zero ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;zero;ONE;ONE;ONE;ZERO;ONE;ONE;ONE
one  ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;one;ZERO;ONE;ONE;ONE;ZERO;ONE;ZERO
six  ;ONE ;ONE ;ZERO;ZERO;ONE ;ZERO;ZERO;six;ONE;ONE;ZERO;ZERO;ONE;ZERO;ZERO
four ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;four;ZERO;ONE;ONE;ONE;ZERO;ONE;ZERO
four ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;four;ZERO;ONE;ONE;ONE;ZERO;ONE;ZERO
one  ;ZERO;ZERO;ONE ;ZERO;ZERO;ONE ;ZERO;one;ZERO;ZERO;ONE;ZERO;ZERO;ONE;ZERO
zero ;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;zero;ONE;ONE;ONE;ZERO;ONE;ZERO;ONE
six  ;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;ONE ;six;ONE;ONE;ZERO;ONE;ONE;ONE;ONE
four ;ZERO;ONE ;ONE ;ONE ;ZERO;ZERO;ZERO;four;ZERO;ONE;ONE;ONE;ZERO;ZERO;ZERO
seven;ONE ;ZERO;ZERO;ZERO;ZERO;ONE ;ONE ;seven;ONE;ZERO;ZERO;ZERO;ZERO;ONE;ONE
nine ;ONE ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;nine;ONE;ZERO;ONE;ONE;ONE;ZERO;ONE
six  ;ONE ;ONE ;ZERO;ZERO;ONE ;ONE ;ZERO;six;ONE;ONE;ZERO;ZERO;ONE;ONE;ZERO
two  ;ONE ;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;two;ONE;ONE;ONE;ONE;ONE;ZERO;ONE
one  ;ZERO;ZERO;ONE ;ZERO;ONE ;ONE ;ZERO;one;ZERO;ZERO;ONE;ZERO;ONE;ONE;ZERO
eight;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;eight;ONE;ONE;ONE;ONE;ONE;ONE;ONE
five ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;five;ONE;ONE;ZERO;ONE;ZERO;ONE;ONE
five ;ZERO;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;five;ZERO;ONE;ZERO;ONE;ZERO;ONE;ONE
three;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;ZERO;three;ONE;ZERO;ONE;ONE;ZERO;ONE;ZERO
five ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;five;ONE;ONE;ZERO;ONE;ZERO;ONE;ONE
four ;ZERO;ONE ;ONE ;ONE ;ZERO;ZERO;ZERO;four;ZERO;ONE;ONE;ONE;ZERO;ZERO;ZERO
eight;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;eight;ONE;ONE;ONE;ONE;ONE;ONE;ONE
zero ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;zero;ONE;ONE;ONE;ZERO;ONE;ONE;ONE
zero ;ONE ;ONE ;ONE ;ZERO;ZERO;ONE ;ONE ;zero;ONE;ONE;ONE;ZERO;ZERO;ONE;ONE
six  ;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;ONE ;six;ONE;ONE;ZERO;ONE;ONE;ONE;ONE
six  ;ONE ;ONE ;ZERO;ZERO;ONE ;ONE ;ONE ;six;ONE;ONE;ZERO;ZERO;ONE;ONE;ONE
eight;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;eight;ONE;ONE;ONE;ONE;ONE;ONE;ONE
nine ;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;nine;ONE;ONE;ONE;ONE;ONE;ONE;ONE
eight;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;ONE ;eight;ONE;ONE;ZERO;ONE;ONE;ONE;ONE
two  ;ZERO;ZERO;ZERO;ONE ;ONE ;ZERO;ONE ;two;ZERO;ZERO;ZERO;ONE;ONE;ZERO;ONE
five ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;ZERO;five;ONE;ONE;ZERO;ONE;ZERO;ONE;ZERO
seven;ONE ;ZERO;ONE ;ZERO;ZERO;ONE ;ZERO;seven;ONE;ZERO;ONE;ZERO;ZERO;ONE;ZERO
two  ;ONE ;ZERO;ZERO;ONE ;ONE ;ZERO;ONE ;two;ONE;ZERO;ZERO;ONE;ONE;ZERO;ONE
four ;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;four;ONE;ONE;ONE;ONE;ZERO;ONE;ZERO
eight;ONE ;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;eight;ONE;ONE;ZERO;ONE;ONE;ZERO;ONE
zero ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;zero;ONE;ONE;ONE;ZERO;ONE;ONE;ONE
zero ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;zero;ONE;ONE;ONE;ZERO;ONE;ONE;ONE
eight;ONE ;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;eight;ONE;ONE;ONE;ONE;ONE;ZERO;ONE
four ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;four;ZERO;ONE;ONE;ONE;ZERO;ONE;ZERO
six  ;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;ONE ;six;ONE;ONE;ZERO;ONE;ONE;ONE;ONE
three;ZERO;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;three;ZERO;ONE;ZERO;ONE;ZERO;ONE;ONE
six  ;ONE ;ZERO;ZERO;ONE ;ONE ;ONE ;ONE ;six;ONE;ZERO;ZERO;ONE;ONE;ONE;ONE
four ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;four;ZERO;ONE;ONE;ONE;ZERO;ONE;ZERO
nine ;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;nine;ONE;ONE;ONE;ONE;ZERO;ONE;ONE
zero ;ZERO;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;zero;ZERO;ONE;ONE;ZERO;ONE;ZERO;ONE
five ;ZERO;ONE ;ZERO;ONE ;ONE ;ONE ;ONE ;five;ZERO;ONE;ZERO;ONE;ONE;ONE;ONE
seven;ONE ;ZERO;ZERO;ONE ;ZERO;ONE ;ZERO;seven;ONE;ZERO;ZERO;ONE;ZERO;ONE;ZERO
five ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;five;ONE;ONE;ZERO;ONE;ZERO;ONE;ONE
nine ;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;nine;ONE;ONE;ONE;ONE;ZERO;ONE;ONE
zero ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;zero;ONE;ONE;ONE;ZERO;ONE;ONE;ONE
six  ;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;ONE ;six;ONE;ONE;ZERO;ONE;ONE;ONE;ONE
seven;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;ZERO;seven;ONE;ZERO;ONE;ONE;ZERO;ONE;ZERO
one  ;ZERO;ZERO;ONE ;ONE ;ZERO;ONE ;ONE ;one;ZERO;ZERO;ONE;ONE;ZERO;ONE;ONE
zero ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;zero;ONE;ONE;ONE;ZERO;ONE;ONE;ONE
zero ;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;ONE ;zero;ONE;ZERO;ONE;ZERO;ONE;ONE;ONE
four ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;four;ZERO;ONE;ONE;ONE;ZERO;ONE;ZERO
one  ;ZERO;ZERO;ONE ;ZERO;ONE ;ONE ;ZERO;one;ZERO;ZERO;ONE;ZERO;ONE;ONE;ZERO
four ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;four;ZERO;ONE;ONE;ONE;ZERO;ONE;ONE
five ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;five;ONE;ONE;ZERO;ONE;ZERO;ONE;ONE
seven;ZERO;ZERO;ONE ;ZERO;ZERO;ONE ;ZERO;seven;ZERO;ZERO;ONE;ZERO;ZERO;ONE;ZERO
nine ;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;nine;ONE;ONE;ONE;ONE;ZERO;ONE;ONE
three;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;ONE ;three;ONE;ZERO;ONE;ONE;ZERO;ONE;ONE
two  ;ONE ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;two;ONE;ZERO;ONE;ONE;ONE;ZERO;ONE
five ;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;five;ONE;ONE;ONE;ONE;ZERO;ONE;ONE
eight;ONE ;ONE ;ONE ;ONE ;ZERO;ZERO;ONE ;eight;ONE;ONE;ONE;ONE;ZERO;ZERO;ONE
six  ;ONE ;ONE ;ZERO;ZERO;ONE ;ONE ;ONE ;six;ONE;ONE;ZERO;ZERO;ONE;ONE;ONE
zero ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;zero;ONE;ONE;ONE;ZERO;ONE;ONE;ONE
four ;ZERO;ZERO;ZERO;ONE ;ZERO;ONE ;ZERO;four;ZERO;ZERO;ZERO;ONE;ZERO;ONE;ZERO
nine ;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;nine;ONE;ONE;ONE;ONE;ZERO;ONE;ONE
four ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;four;ZERO;ONE;ONE;ONE;ZERO;ONE;ZERO
one  ;ZERO;ZERO;ONE ;ZERO;ONE ;ONE ;ZERO;one;ZERO;ZERO;ONE;ZERO;ONE;ONE;ZERO
two  ;ONE ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;two;ONE;ZERO;ONE;ONE;ONE;ZERO;ONE
two  ;ONE ;ZERO;ZERO;ONE ;ONE ;ZERO;ONE ;two;ONE;ZERO;ZERO;ONE;ONE;ZERO;ONE
three;ZERO;ZERO;ONE ;ONE ;ZERO;ONE ;ONE ;three;ZERO;ZERO;ONE;ONE;ZERO;ONE;ONE
eight;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;ZERO;eight;ONE;ONE;ONE;ONE;ONE;ONE;ZERO
nine ;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;nine;ONE;ONE;ONE;ONE;ZERO;ONE;ONE
six  ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;six;ONE;ONE;ZERO;ONE;ZERO;ONE;ONE
zero ;ZERO;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;zero;ZERO;ONE;ONE;ZERO;ONE;ONE;ONE
eight;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;eight;ONE;ONE;ONE;ONE;ONE;ONE;ONE
four ;ZERO;ONE ;ONE ;ZERO;ZERO;ONE ;ZERO;four;ZERO;ONE;ONE;ZERO;ZERO;ONE;ZERO
one  ;ZERO;ZERO;ONE ;ZERO;ZERO;ONE ;ONE ;one;ZERO;ZERO;ONE;ZERO;ZERO;ONE;ONE
nine ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;nine;ZERO;ONE;ONE;ONE;ZERO;ONE;ONE
zero ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;zero;ONE;ONE;ONE;ZERO;ONE;ONE;ONE
two  ;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;ONE ;two;ONE;ONE;ZERO;ONE;ONE;ONE;ONE
eight;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;eight;ONE;ONE;ONE;ONE;ONE;ONE;ONE
one  ;ZERO;ZERO;ONE ;ZERO;ZERO;ONE ;ZERO;one;ZERO;ZERO;ONE;ZERO;ZERO;ONE;ZERO
nine ;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;nine;ONE;ONE;ONE;ONE;ZERO;ONE;ZERO
three;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;ZERO;three;ONE;ZERO;ONE;ONE;ZERO;ONE;ZERO
four ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;four;ZERO;ONE;ONE;ONE;ZERO;ONE;ZERO
five ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;five;ONE;ONE;ZERO;ONE;ZERO;ONE;ONE
four ;ZERO;ONE ;ZERO;ONE ;ONE ;ONE ;ZERO;four;ZERO;ONE;ZERO;ONE;ONE;ONE;ZERO
eight;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;eight;ONE;ONE;ONE;ONE;ONE;ONE;ONE
four ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;four;ZERO;ONE;ONE;ONE;ZERO;ONE;ZERO
nine ;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;ONE ;nine;ONE;ZERO;ONE;ONE;ZERO;ONE;ONE
nine ;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;ONE ;nine;ONE;ZERO;ONE;ONE;ZERO;ONE;ONE
seven;ZERO;ZERO;ONE ;ZERO;ZERO;ONE ;ZERO;seven;ZERO;ZERO;ONE;ZERO;ZERO;ONE;ZERO
seven;ONE ;ZERO;ZERO;ZERO;ZERO;ONE ;ZERO;seven;ONE;ZERO;ZERO;ZERO;ZERO;ONE;ZERO
five ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;five;ONE;ONE;ZERO;ONE;ZERO;ONE;ONE
one  ;ZERO;ZERO;ZERO;ZERO;ZERO;ZERO;ONE ;one;ZERO;ZERO;ZERO;ZERO;ZERO;ZERO;ONE
two  ;ONE ;ZERO;ZERO;ONE ;ZERO;ZERO;ONE ;two;ONE;ZERO;ZERO;ONE;ZERO;ZERO;ONE
two  ;ONE ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;two;ONE;ZERO;ONE;ONE;ONE;ZERO;ONE
one  ;ZERO;ZERO;ONE ;ZERO;ZERO;ONE ;ZERO;one;ZERO;ZERO;ONE;ZERO;ZERO;ONE;ZERO
five ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;ZERO;five;ONE;ONE;ZERO;ONE;ZERO;ONE;ZERO
two  ;ONE ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;two;ONE;ZERO;ONE;ONE;ONE;ZERO;ONE
five ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;five;ONE;ONE;ZERO;ONE;ZERO;ONE;ONE
eight;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;eight;ONE;ONE;ONE;ONE;ONE;ONE;ONE
seven;ONE ;ZERO;ONE ;ZERO;ZERO;ONE ;ZERO;seven;ONE;ZERO;ONE;ZERO;ZERO;ONE;ZERO
six  ;ONE ;ZERO;ZERO;ONE ;ONE ;ONE ;ONE ;six;ONE;ZERO;ZERO;ONE;ONE;ONE;ONE
zero ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;zero;ONE;ONE;ONE;ZERO;ONE;ONE;ONE
four ;ZERO;ZERO;ONE ;ONE ;ZERO;ONE ;ONE ;four;ZERO;ZERO;ONE;ONE;ZERO;ONE;ONE
two  ;ZERO;ZERO;ONE ;ONE ;ONE ;ZERO;ZERO;two;ZERO;ZERO;ONE;ONE;ONE;ZERO;ZERO
zero ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;ZERO;zero;ONE;ONE;ONE;ZERO;ONE;ONE;ZERO
zero ;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;zero;ONE;ONE;ONE;ONE;ONE;ONE;ONE
one  ;ZERO;ZERO;ONE ;ZERO;ZERO;ONE ;ZERO;one;ZERO;ZERO;ONE;ZERO;ZERO;ONE;ZERO
three;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;ONE ;three;ONE;ZERO;ONE;ONE;ZERO;ONE;ONE
nine ;ONE ;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;nine;ONE;ONE;ZERO;ONE;ONE;ZERO;ONE
three;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;three;ONE;ONE;ONE;ONE;ZERO;ONE;ONE
zero ;ONE ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;zero;ONE;ZERO;ONE;ONE;ONE;ZERO;ONE
eight;ONE ;ONE ;ONE ;ONE ;ONE ;ONE ;ZERO;eight;ONE;ONE;ONE;ONE;ONE;ONE;ZERO
zero ;ZERO;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;zero;ZERO;ONE;ONE;ZERO;ONE;ONE;ONE
four ;ZERO;ZERO;ONE ;ONE ;ONE ;ZERO;ZERO;four;ZERO;ZERO;ONE;ONE;ONE;ZERO;ZERO
three;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;ONE ;three;ONE;ZERO;ONE;ONE;ZERO;ONE;ONE
three;ONE ;ZERO;ONE ;ONE ;ZERO;ZERO;ZERO;three;ONE;ZERO;ONE;ONE;ZERO;ZERO;ZERO
nine ;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;nine;ONE;ONE;ONE;ONE;ZERO;ONE;ONE
zero ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;zero;ONE;ONE;ONE;ZERO;ONE;ONE;ONE
four ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;four;ZERO;ONE;ONE;ONE;ZERO;ONE;ZERO
five ;ONE ;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;five;ONE;ONE;ZERO;ONE;ZERO;ONE;ONE
nine ;ONE ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;nine;ONE;ONE;ONE;ONE;ZERO;ONE;ONE
six  ;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;ONE ;six;ONE;ONE;ZERO;ONE;ONE;ONE;ONE
nine ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;ZERO;nine;ONE;ONE;ONE;ZERO;ONE;ONE;ZERO
zero ;ONE ;ONE ;ONE ;ZERO;ONE ;ONE ;ZERO;zero;ONE;ONE;ONE;ZERO;ONE;ONE;ZERO
three;ONE ;ZERO;ONE ;ONE ;ZERO;ONE ;ONE ;three;ONE;ZERO;ONE;ONE;ZERO;ONE;ONE
four ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;four;ZERO;ONE;ONE;ONE;ZERO;ONE;ZERO
six  ;ONE ;ONE ;ZERO;ONE ;ONE ;ONE ;ONE ;six;ONE;ONE;ZERO;ONE;ONE;ONE;ONE
five ;ZERO;ONE ;ZERO;ONE ;ZERO;ONE ;ONE ;five;ZERO;ONE;ZERO;ONE;ZERO;ONE;ONE
four ;ZERO;ONE ;ONE ;ONE ;ZERO;ONE ;ZERO;four;ZERO;ONE;ONE;ONE;ZERO;ONE;ZERO
